Heure,Voie 1
ms,°C
,
282403,551.19
282605,551.19
282808,551
283011,550.63
283214,550.63
283401,550.81
283604,550.81
283807,550.08
284009,550.08
284212,550.12
284415,550.02
284602,550.02
284805,549.93
285008,549.93
285211,549.36
285413,548.97
285601,548.97
285803,549.12
286006,549.12
286209,549.01
286412,549.01
286615,548.46
286802,548.44
287005,548.44
287207,548.61
287410,548.61
287613,547.84
287800,547.71
288003,547.71
288206,547.82
288409,547.82
288611,547.37
288814,547.37
289001,547.14
289204,546.92
289407,546.92
289610,547.05
289813,547.05
290000,546.75
290203,546.48
290405,546.48
290608,546.31
290811,546.31
291014,546.73
291201,546.73
291404,546.48
291607,546.18
291809,546.18
292012,546.86
292215,546.86
292402,546.8
292605,546.58
292808,546.58
293011,546.65
293213,546.65
293401,547.18
293603,547.18
293806,546.88
294009,546.84
294212,546.84
294415,546.95
294602,546.95
294805,547.1
295007,547.12
295210,547.12
295413,546.84
295600,546.84
295803,547.22
296006,547.22
296209,547.16
296411,547.2
296614,547.2
296801,547.12
297004,547.12
297207,547.33
297410,547.46
297613,547.46
297800,547.24
298003,547.24
298206,547.33
298408,547.33
298611,547.37
298814,547.27
299001,547.27
299204,547.29
299407,547.29
299610,547.56
299812,547.5
300000,547.5
300202,547.24
300405,547.24
300608,547.35
300811,547.35
301014,547.44
301201,547.37
301404,547.37
301606,547.37
301809,547.37
302012,547.24
302215,547.71
302402,547.71
302605,547.37
302808,547.37
303010,547.14
303213,547.14
303400,547.56
303603,547.44
303806,547.44
304009,547.35
304212,547.35
304414,547.42
304602,547.42
304804,547.54
305007,547.54
305210,547.54
305413,547.46
305600,547.46
305803,547.42
306006,547.54
306208,547.54
306411,547.42
306614,547.42
306801,547.44
307004,547.44
307207,547.52
307410,547.71
307612,547.71
307800,547.31
308002,547.31
308205,547.37
308408,547.67
308611,547.67
308814,547.35
309001,547.35
309204,547.22
309406,547.22
309609,547.22
309812,547.61
310015,547.61
310202,547.31
310405,547.31
310608,547.14
310810,547.46
311013,547.46
311200,547.52
311403,547.52
311606,547.2
311809,547.2
312012,547.31
312214,547.65
312402,547.65
312604,547.24
312807,547.24
313010,547.1
313213,547.29
313400,547.29
313603,547.46
313806,547.46
314008,547.31
314211,547.31
314414,547.05
314601,547.27
314804,547.27
315007,547.29
315210,547.29
315412,547.2
315600,546.99
315802,546.99
316005,547.14
316208,547.14
316411,547.27
316614,547.27
316801,546.95
317004,547.03
317206,547.03
317409,547.2
317612,547.2
317815,546.95
318002,546.8
318205,546.8
318408,547.07
318610,547.07
318813,547.01
319000,547.01
319203,546.82
319406,546.95
319609,546.95
319812,546.97
320014,546.97
320202,546.92
320404,546.75
320607,546.75
320810,546.86
321013,546.86
321200,547.01
321403,547.01
321606,546.6
321808,546.48
322011,546.48
322214,546.6
322401,546.6
322604,546.84
322807,546.54
323010,546.54
323212,546.43
323400,546.43
323602,546.46
323805,546.46
324008,546.48
324211,546.28
324414,546.28
324601,546.07
324804,546.07
325006,546.35
325209,546.2
325412,546.2
325615,546.26
325802,546.26
326005,546.05
326208,546.05
326410,546.03
326613,545.79
326800,545.79
327003,545.45
327206,545.45
327409,545.71
327612,545.86
327814,545.86
328002,545.18
328204,545.18
328407,545.37
328610,545.37
328813,545.45
329000,545.3
329203,545.3
329406,545.18
329609,545.18
329811,545.18
330014,545.3
330201,545.3
330404,544.92
330607,544.92
330810,544.79
331013,544.79
331200,544.98
331403,544.6
331605,544.6
331808,544.41
332011,544.41
332214,544.47
332401,544.47
332604,544.41
332807,544.34
333009,544.34
333212,544.09
333415,544.09
333602,544.2
333805,544.09
334008,544.09
334211,543.81
334413,543.81
334601,543.64
334803,543.64
335006,543.83
335209,543.81
335412,543.81
335615,543.21
335802,543.21
336005,543.21
336207,543.45
336410,543.45
336613,543.09
336800,543.09
337003,542.79
337206,542.79
337409,543.07
337611,542.87
337814,542.87
338001,542.45
338204,542.45
338407,542.62
338610,542.64
338813,542.64
339000,542.6
339203,542.6
339405,542.19
339608,542.19
